Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Backend,com0.TrelloClone.board.controller,BoardController,createBoard,11,3,2,25,0,,
Backend,com0.TrelloClone.board.controller,BoardController,updateBoard,6,2,1,42,0,,
Backend,com0.TrelloClone.board.controller,BoardController,deleteBoardByID,4,1,1,51,0,,
Backend,com0.TrelloClone.board.controller,BoardController,getAllBoardNames,3,1,1,57,0,,
Backend,com0.TrelloClone.board.model,Board,getWorkspace,3,1,0,18,0,,
Backend,com0.TrelloClone.board.model,Board,setWorkspace,3,1,1,22,0,,
Backend,com0.TrelloClone.board.model,Board,getBoardID,3,1,0,26,0,,
Backend,com0.TrelloClone.board.model,Board,setBoardID,3,1,1,30,0,,
Backend,com0.TrelloClone.board.model,Board,getBoardName,3,1,0,33,0,,
Backend,com0.TrelloClone.board.model,Board,setBoardName,3,1,1,37,0,,
Backend,com0.TrelloClone.board.model,Board,Board,4,1,2,41,0,,
Backend,com0.TrelloClone.board.model,Board,Board,2,1,0,46,0,,
Backend,com0.TrelloClone.board.repository,BoardRepository,findByBoardName,0,1,1,9,0,,
Backend,com0.TrelloClone.board.repository,BoardRepository,findByBoardID,0,1,1,10,0,,
Backend,com0.TrelloClone.board.service,BoardService,createBoard,7,2,1,19,0,,
Backend,com0.TrelloClone.board.service,BoardService,updateBoard,9,2,1,28,0,,
Backend,com0.TrelloClone.board.service,BoardService,deleteBoardByID,4,1,1,40,0,,
Backend,com0.TrelloClone.board.service,BoardService,getALLBoardNames,11,3,1,46,0,,
Backend,com0.TrelloClone.task.controller,taskController,createTask,11,3,2,26,0,,
Backend,com0.TrelloClone.task.controller,taskController,changeDueDate,6,2,2,45,0,,
Backend,com0.TrelloClone.task.controller,taskController,changeStatus,6,2,2,55,0,,
Backend,com0.TrelloClone.task.controller,taskController,assignMember,8,2,2,65,0,,
Backend,com0.TrelloClone.task.model,TaskModel,getBoard,3,1,0,40,0,,
Backend,com0.TrelloClone.task.model,TaskModel,setBoard,3,1,1,44,0,,
Backend,com0.TrelloClone.task.model,TaskModel,getUser,3,1,0,48,0,,
Backend,com0.TrelloClone.task.model,TaskModel,setUser,3,1,1,52,0,,
Backend,com0.TrelloClone.task.model,TaskModel,getTaskId,3,1,0,56,0,,
Backend,com0.TrelloClone.task.model,TaskModel,setTaskId,3,1,1,60,0,,
Backend,com0.TrelloClone.task.model,TaskModel,getTaskName,3,1,0,64,0,,
Backend,com0.TrelloClone.task.model,TaskModel,setTaskName,3,1,1,68,0,,
Backend,com0.TrelloClone.task.model,TaskModel,getDueDate,3,1,0,72,0,,
Backend,com0.TrelloClone.task.model,TaskModel,setDueDate,3,1,1,76,0,,
Backend,com0.TrelloClone.task.model,TaskModel,getTaskStatus,3,1,0,80,0,,
Backend,com0.TrelloClone.task.model,TaskModel,setTaskStatus,3,1,1,84,0,,
Backend,com0.TrelloClone.task.model,TaskModel,TaskModel,8,1,6,88,0,,
Backend,com0.TrelloClone.task.model,TaskModel,TaskModel,2,1,0,97,0,,
Backend,com0.TrelloClone.task.repository,TaskRepository,findBytaskId,0,1,1,9,0,,
Backend,com0.TrelloClone.task.service,TaskService,createTask,9,3,1,23,0,,
Backend,com0.TrelloClone.task.service,TaskService,changeDueDate,11,3,2,35,0,,
Backend,com0.TrelloClone.task.service,TaskService,assignMember,12,2,2,48,0,,
Backend,com0.TrelloClone.task.service,TaskService,changeStatus,9,2,2,63,0,,
Backend,com0.TrelloClone,TrelloCloneApplication,main,3,1,1,9,0,,
Backend,com0.TrelloClone,WebConfig,addCorsMappings,3,1,1,10,0,,
Backend,com0.TrelloClone,ApplicationTests,contextLoads,2,1,0,9,1,,
Backend,com0.TrelloClone,BoardTest,testCreateBoard,9,1,0,30,1,,
Backend,com0.TrelloClone,BoardTest,testCreateBoardWithoutName,7,1,0,42,1,,
Backend,com0.TrelloClone,BoardTest,testUpdateBoard,12,1,0,52,1,,
Backend,com0.TrelloClone,BoardTest,testUpdateBoardWithoutName,12,1,0,68,1,,
Backend,com0.TrelloClone,BoardTest,testDeleteBoardByID,8,1,0,83,1,,
Backend,com0.TrelloClone,BoardTest,testGetALLBoardNames,14,1,0,94,1,,
Backend,com0.TrelloClone,TaskTest,testChangeStatus,14,1,0,36,1,,
Backend,com0.TrelloClone,TaskTest,testChangeStatusOfNonExistingTask,12,1,0,55,1,,
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,14,1,0,70,1,,
Backend,com0.TrelloClone,TaskTest,testChangeDueDateToBeforeToday,14,1,0,89,1,,
Backend,com0.TrelloClone,TaskTest,testAssignMember,20,1,0,107,1,,
Backend,com0.TrelloClone,TaskTest,testAssignMemberToNonExistingTask,13,1,0,131,1,,
Backend,com0.TrelloClone,TaskTest,testCreateTask,11,1,0,147,1,,
Backend,com0.TrelloClone,TaskTest,testCreateBoardWithoutName,8,1,0,162,1,,
Backend,com0.TrelloClone,UserTest,testCreateUser,13,1,0,28,1,,
Backend,com0.TrelloClone,UserTest,testValidatePasswordWithIncorrectPassword,4,1,0,46,1,,
Backend,com0.TrelloClone,UserTest,testValidatePasswordWithCorrectPassword,4,1,0,53,1,,
Backend,com0.TrelloClone,UserTest,testFindUserByEmailWithValidEmail,16,1,0,61,1,,
Backend,com0.TrelloClone,UserTest,testFindUserByEmailWithInvalidEmail,14,1,0,83,1,,
Backend,com0.TrelloClone,UserTest,testValidateEmailAndPasswordWithValidCredentials,16,1,0,120,1,,
Backend,com0.TrelloClone,UserTest,testValidateEmailAndPasswordWithInvalidCredentials,16,1,0,140,1,,
Backend,com0.TrelloClone,UserTest,testForgotPasswordWithCorrectSecurityAnswer,17,1,0,160,1,,
Backend,com0.TrelloClone,UserTest,testForgotPasswordWithIncorrectSecurityAnswer,17,1,0,181,1,,
Backend,com0.TrelloClone,UserTest,testUpdateUserEntity,22,1,0,202,1,,
Backend,com0.TrelloClone,UserTest,testUpdateUserEntityWithInvalidPassword,22,1,0,229,1,,
Backend,com0.TrelloClone,UserTest,testGetLoginUser,16,1,0,256,1,,
Backend,com0.TrelloClone,UserTest,testUserInformation,11,1,0,278,1,,
Backend,com0.TrelloClone,UserTest,testUserInformationWithoutEmail,10,1,0,293,1,,
Backend,com0.TrelloClone,WorkspaceTest,test_createWorkspace,10,1,0,34,1,,
Backend,com0.TrelloClone,WorkspaceTest,testMissingInformationWithNoName,7,1,0,49,1,,
Backend,com0.TrelloClone,WorkspaceTest,testMissingInformation,8,1,0,60,1,,
Backend,com0.TrelloClone,WorkspaceTest,testUpdateWorkspace,14,1,0,71,1,,
Backend,com0.TrelloClone,WorkspaceTest,testUpdateWorkspaceWithSameCredentials,14,1,0,91,1,,
Backend,com0.TrelloClone,WorkspaceTest,addMemebertoNonExistingWorkspace,16,1,0,112,1,,
Backend,com0.TrelloClone,WorkspaceTest,addMemebertoExistingWorkspace,18,1,0,133,1,,
Backend,com0.TrelloClone,WorkspaceTest,testGetAllMembers,22,1,0,196,1,,
Backend,com0.TrelloClone,WorkspaceTest,testGetAllMembersIsEmptyBeforeAddingMembers,13,1,0,224,1,,
Backend,com0.TrelloClone.user.controller,UserController,signup,18,5,1,16,0,,
Backend,com0.TrelloClone.user.controller,UserController,login,9,2,1,37,0,,
Backend,com0.TrelloClone.user.controller,UserController,forgotPassword,6,2,3,48,0,,
Backend,com0.TrelloClone.user.controller,UserController,updateUser,9,3,1,57,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,UserEntity,4,1,2,16,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,getSecurityAnswer,3,1,0,26,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,setSecurityAnswer,3,1,1,30,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,setId,3,1,1,34,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,UserEntity,8,1,6,38,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,UserEntity,2,1,0,47,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,getFirstName,3,1,0,51,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,setFirstName,3,1,1,55,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,getLastName,3,1,0,59,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,setLastName,3,1,1,63,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,getEmailID,3,1,0,67,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,setEmailID,3,1,1,71,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,getPassword,3,1,0,75,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,setPassword,3,1,1,79,0,,
Backend,com0.TrelloClone.user.entity,UserEntity,getId,3,1,0,83,0,,
Backend,com0.TrelloClone.user.repository,UserRepository,findById,0,1,1,10,0,,
Backend,com0.TrelloClone.user.repository,UserRepository,findByEmailID,0,1,1,11,0,,
Backend,com0.TrelloClone.user.service,UserService,signup,3,1,1,17,0,,
Backend,com0.TrelloClone.user.service,UserService,validatePassword,18,6,1,20,0,,
Backend,com0.TrelloClone.user.service,UserService,findUserByEmailID,7,2,1,39,0,,
Backend,com0.TrelloClone.user.service,UserService,toCheckSameUser,9,3,1,48,0,,
Backend,com0.TrelloClone.user.service,UserService,validateEmailAndPassword,8,2,2,62,0,,
Backend,com0.TrelloClone.user.service,UserService,toCheckUserIsPresent,7,2,0,72,0,,
Backend,com0.TrelloClone.user.service,UserService,forgotPassword,13,4,3,80,0,com0.TrelloClone.user.service.UserService,com0.TrelloClone.user.service.UserService
Backend,com0.TrelloClone.user.service,UserService,updateUserEntity,15,3,1,99,0,com0.TrelloClone.user.service.UserService,com0.TrelloClone.user.service.UserService
Backend,com0.TrelloClone.user.service,UserService,getLogInUser,3,1,0,117,0,,
Backend,com0.TrelloClone.user.service,UserService,userInformation,9,3,1,122,0,,
Backend,com0.TrelloClone.workspace.controller,WorkspaceController,createWorkspace,13,3,1,21,0,,
Backend,com0.TrelloClone.workspace.controller,WorkspaceController,updateWorkspace,6,2,1,35,0,,
Backend,com0.TrelloClone.workspace.controller,WorkspaceController,deleteWorkspaceByID,4,1,1,43,0,,
Backend,com0.TrelloClone.workspace.controller,WorkspaceController,addMember,9,2,2,49,0,,
Backend,com0.TrelloClone.workspace.controller,WorkspaceController,getAllWorkspaceName,3,1,0,60,0,,
Backend,com0.TrelloClone.workspace.controller,WorkspaceController,getNameOfMembers,3,1,1,65,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,getWorkspaceDesc,3,1,0,19,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,setWorkspaceDesc,3,1,1,23,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,getWorkspaceID,3,1,0,27,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,setWorkspaceID,3,1,1,31,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,getWorkspaceName,3,1,0,35,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,setWorkspaceName,3,1,1,38,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,getUser,3,1,0,46,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,setUser,3,1,1,50,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,Workspace,6,1,4,55,0,,
Backend,com0.TrelloClone.workspace.model,Workspace,Workspace,2,1,0,62,0,,
Backend,com0.TrelloClone.workspace.repository,WorkspaceRepository,findByWorkspaceName,0,1,1,10,0,,
Backend,com0.TrelloClone.workspace.repository,WorkspaceRepository,findByWorkspaceID,0,1,1,11,0,,
Backend,com0.TrelloClone.workspace.service,WorkspaceService,createWorkspace,7,2,1,20,0,com0.TrelloClone.workspace.service.WorkspaceService,com0.TrelloClone.workspace.service.WorkspaceService
Backend,com0.TrelloClone.workspace.service,WorkspaceService,updateWorkspace,13,3,1,29,0,com0.TrelloClone.workspace.service.WorkspaceService,com0.TrelloClone.workspace.service.WorkspaceService
Backend,com0.TrelloClone.workspace.service,WorkspaceService,deleteWorkspaceByID,4,1,1,45,0,,
Backend,com0.TrelloClone.workspace.service,WorkspaceService,addMember,11,2,2,50,0,,
Backend,com0.TrelloClone.workspace.service,WorkspaceService,getALLWorkspaceName,9,4,0,64,0,,
Backend,com0.TrelloClone.workspace.service,WorkspaceService,getAllMembers,9,2,1,76,0,,
Backend,com0.TrelloClone.workspace.service,WorkspaceService,missingInformation,9,3,1,88,0,,
